SIZE;;ERM-397(1);;;ERM-397(2);;;ERM-398(1);;;ERM-398(2);;;ERM-399(1);;;ERM-399(2);;;ERM-400;;;ERM-401;;;ERM-402;;;ERM-403;
PDI;0.085;0.082;0.082;0.087;0.068;0.071;0.084;0.063;0.068;0.068;0.089;0.094;0.059;0.084;0.071;0.071;0.062;0.071;0.072;0.069;0.07;0.075;0.082;0.081;0.273;0.249;0.239;0.235;0.235;0.23
X Intensity;R1.397(1);R2.397(1);R3.397(1);R1.397(2);R2.397(2);R3.397(2);R1.398(1);R2.398(1);R3.398(1);R1.398(2);R2.398(2);R3.398(2);R1.399(1);R2.399(1);R3.399(1);R1.399(2);R2.399(2);R3.399(2);R1.400;R2.400;R3.400;R1.401;R2.401;R3.401;R1.402;R2.402;R3.402;R1.403;R2.403;R3.403
91.3;13.3;12.6;12.6;12.7;12.6;12.4;12.5;12.6;12.6;12.6;12.6;12.2;12.6;12.5;12.9;12.6;12.7;12.6;12.7;12.9;13.1;13.3;13.5;13.3;0;0;0;0;0;0
106;8.73;7.77;7.93;8.39;7.2;7.11;8.26;7.08;7.48;7.54;8.32;8.33;6.95;7.93;7.76;7.83;7.29;7.71;7.79;7.72;8.14;8.81;8.83;8.92;0.405;0.455;0.632;0;0;0
122;4.26;3.41;3.63;4.18;2.63;2.64;4.12;2.41;2.98;3.06;4.19;4.45;2.29;3.7;3.15;3.49;2.65;3.3;3.34;3.16;3.56;4.35;4.29;4.55;1.84;2.17;2.36;0;0;0
142;1.16;0.709;0.857;1.2;0.196;0.242;1.19;0.0376;0.413;0.467;1.24;1.52;0;0.924;0.473;0.768;0.176;0.625;0.642;0.508;0.72;1.21;1.16;1.37;4.24;4.95;4.99;0;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0.095;0;0;0;0;0;0;0;0;0;0;0;0;7.15;8.15;7.99;0;0;0
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.98;11;10.7;0;0;0
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.2;13;12.7;0;0;0
255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.3;13.7;13.6;0;0;0
295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.3;13.1;13.2;0;0;0
342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;11.5;11.6;0;0;0
396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9.08;9.31;0;0;0.00512
459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.39;6.42;6.59;0;0;0.0202
531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.72;3.9;3.96;0.00159;0.00675;0.0466
615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.43;1.9;1.84;0.0142;0.0319;0.0836
712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.852;0.615;0.508;0.0427;0.0787;0.129
825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0998;0.0529;0;0.0881;0.145;0.18
9.55E+02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.149;0.226;0.233
1.11E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.222;0.314;0.285
1.28E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.303;0.402;0.333
1.48E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.387;0.484;0.375
1.72E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.468;0.555;0.408
1.99E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.541;0.609;0.431
2.30E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.601;0.643;0.443
2.67E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.644;0.656;0.443
3.09E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666;0.647;0.432
3.58E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.664;0.617;0.408
4.15E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.637;0.567;0.374
4.80E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.585;0.5;0.329
5.56E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.507;0.417;0.275
6.44E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.46E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.63E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
