Variable,Sigma_%,MAE_mean,MAE_std,MRE_mean,MRE_std
Size,2,65.71,0.34,130.33,4.93
PdI,2,0.12,0.0,43.24,1.23
ZP,2,0.8,0.0,574.34,7.41
EE,2,55.12,0.3,7641.81,12935.88
DL,2,11.19,0.01,67360.62,194561.42
Size,5,65.68,0.83,132.39,12.46
PdI,5,0.12,0.0,44.72,3.64
ZP,5,0.8,0.0,577.95,18.16
EE,5,55.04,0.83,4394.37,14166.21
DL,5,11.19,0.02,44215.85,259359.59
Size,10,65.91,1.84,142.89,35.33
PdI,10,0.12,0.0,66.53,134.89
ZP,10,0.8,0.0,594.08,105.16
EE,10,55.36,1.59,4569.12,23151.33
DL,10,11.2,0.03,16366.18,58566.36
