Number;X;Y;eval
1;1.937;-2.876;-172928.203
2;1.198;0.647;-32498.477
3;3.628;-0.96;-46488.706
4;2.2;-1.9;-43682.634
5;-2.12;-1;-20596.724
6;3.843;-0.446;-3605.199
7;0.9;1.1;-8085.467
8;-2.16;-1.2;-30319.029
9;-0.8;-0.68;-25200.406
10;0.8;0.4;-44939.33
11;-0.16;-0.8;-4042.752
12;-3.2;0.12;-16865.393
13;0.498;-0.503;-5049.4
14;0.982;0.552;-39868.395
15;-2.08;2.4;-162345.091
