Number,X,Y,eval,real
1,1.937,-2.876,-172928.203,2363.1923491543557
2,1.198,0.647,-32498.477,6.64113401116534
3,3.628,-0.96,-46488.706,53.09329031361703
4,2.2,-1.9,-43682.634,302.74282303999996
5,-2.12,-1.0,-20596.724,85.13832500000001
6,3.843,-0.446,-3605.199,19.575878387177074
7,0.9,1.1,-8085.467,17.020165410000004
8,-2.16,-1.2,-30319.029,113.3239297104
9,-0.8,-0.68,-25200.406,28.788152355279358
10,0.8,0.4,-44939.33,7.05061044
11,-0.16,-0.8,-4042.752,16.741192046400002
12,-3.2,0.12,-16865.393,81.69644310287617
13,0.498,-0.503,-5049.4,8.350178476688551
14,0.982,0.552,-39868.395,6.849387488443613
15,-2.08,2.4,-162345.091,638.8790378063998
