Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.9,0.9,0.82,0.8199999999999994,5.551115123125783e-16,6.769652589177789e-14
2,1.0,0.9,1.0,0.9999999999999996,4.440892098500626e-16,4.440892098500628e-14
3,0.9,1.0,3.62,3.619999999999998,2.220446049250313e-15,6.133828865332361e-14
4,1.0,1.0,0.0,0.0,0.0,0.0
5,0.9,0.933333,1.531102889,1.531102888899998,1.0000200667548143e-10,6.53137077857169e-09
6,0.9,0.966667,2.464454889,2.4644548888999998,1.0000045236324695e-10,4.057710807110037e-09
7,1.0,0.933333,0.444448889,0.44444888890000045,9.999956418482725e-11,2.2499676944254174e-08
8,1.0,0.966667,0.111108889,0.11110888889999963,1.000003690965201e-10,9.000213222051258e-08
9,0.933333,0.9,0.087904874,0.08790487411226001,1.122600207237312e-10,1.2770625276178446e-07
10,0.966667,0.9,0.119757504,0.11975750374611185,2.538881466174203e-10,2.120018693406201e-07
11,0.966667,1.0,0.430855726,0.43085572596610944,3.3890557027405066e-11,7.86587133115433e-09
12,0.95,0.95,0.228125,0.22812499999999988,1.1102230246251565e-16,4.866731066850004e-14
13,0.95,0.95,0.228125,0.22812499999999988,1.1102230246251565e-16,4.866731066850004e-14
14,0.95,0.95,0.228125,0.22812499999999988,1.1102230246251565e-16,4.866731066850004e-14
15,0.95,0.95,0.228125,0.22812499999999988,1.1102230246251565e-16,4.866731066850004e-14
