Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.5,0.5,6.5,6.5,0.0,0.0
2,1.0,0.5,25.0,25.0,0.0,0.0
3,0.5,1.5,156.5,156.5,0.0,0.0
4,1.0,1.5,25.0,25.0,0.0,0.0
5,0.5,0.833333,34.27773889,34.2777388889,1.1000054200849263e-09,3.2090956280699603e-09
6,0.5,1.16667,84.27838889,84.27838889000002,1.4210854715202004e-14,1.6861801586821956e-14
7,1.0,0.833333,2.777788889,2.7777888889000004,9.999956418482725e-11,3.599969910759738e-09
8,1.0,1.16667,2.77788889,2.777888890000003,3.1086244689504383e-15,1.1190600459726937e-13
9,0.666667,0.5,0.419747926,0.4197479259445553,5.544470438323401e-11,1.3209047849007773e-08
10,0.833333,0.5,3.808620482,3.808620481516778,4.832219069328403e-10,1.2687583582504863e-08
11,0.666667,1.5,111.5307701,111.53077014814454,4.814454257484613e-08,4.3167049336157636e-08
12,0.75,1.0,19.203125,19.203125,0.0,0.0
13,0.75,1.0,19.203125,19.203125,0.0,0.0
14,0.75,1.0,19.203125,19.203125,0.0,0.0
15,0.75,1.0,19.203125,19.203125,0.0,0.0
