Run,X,Y,R0
1,0.64,-0.52,7.034191738943526
2,-2.72,-4.0,1687959.3264111355
3,0.64,-4.0,288.3440191506561
4,4.0,3.0,3001559.203125
5,1.2,2.31926,615.0509701923934
6,-2.16,-1.2,655.7373012960395
7,0.64,-0.52,7.034191738943526
8,-4.0,3.76,11583185.522368776
9,-4.0,0.92,2262.2447842650245
10,-2.72,-4.0,1687959.3264111355
11,4.0,-0.4,47.39794100000001
12,-1.28,4.0,17871.61201016199
13,0.64,-0.52,7.034191738943526
14,4.0,-4.0,16853467.203125
