Number;X;Y;eval
1;3.828;-1.16;-39206.77
2;-0.18;3.8;-106289.743
3;1.298;0.297;-32605.791
4;1.363;1.94;-5040.38
5;3.8;-1.1;-45898.662
6;1.782;-0.248;-857.37
7;1.2;2.319;-9653.794
8;-1.92;-3.2;-1484269.659
9;2.4;3.8;-92690.167
10;3.843;-0.446;-19271.537
11;-0.16;-0.8;-45720.83
12;-0.16;-2.12;-871227.502
13;-1.7;-2.1;-688479.135
14;-0.16;-3.2;-2080347.79
15;-2.52;-1.4;-20115.286
