Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,1.937,-2.876,-172928.203,1.0,30670.2839279856,203598.48692798562,3.5393989602756
2,1.198,0.647,-32498.477,1.0,7.4740900118635505,32505.951090011862,1.807985895962687
3,3.628,-0.96,-46488.706,1.0,2017.8251545303922,48506.53115453039,1.5893344519011723
4,2.2,-1.9,-43682.634,1.0,5603.007560935423,49285.64156093542,2.5298221281347035
5,-2.12,-1.0,-20596.724,1.0,315.247370264384,20911.971370264382,5.335203838655089
6,3.843,-0.446,-3605.199,1.0,57.369709758453816,3662.5687097584537,1.2671089140243628
7,0.9,1.1,-8085.467,1.0,15.222102709401003,8100.689102709401,2.1840329667841556
8,-2.16,-1.2,-30319.029,1.0,655.7373012960395,30974.766301296037,5.4328261521974
9,-0.8,-0.68,-25200.406,1.0,32.142942143860985,25232.54894214386,3.978994847948411
10,0.8,0.4,-44939.33,1.0,6.901647701824,44946.231647701825,2.202271554554524
11,-0.16,-0.8,-4042.752,1.0,16.852193850142513,4059.6041938501426,3.416957711181103
12,-3.2,0.12,-16865.393,1.0,83.2335416862426,16948.626541686244,6.211634245510597
13,0.498,-0.503,-5049.4,1.0,8.315581321405526,5057.715581321405,2.695554302921757
14,0.982,0.552,-39868.395,1.0,6.8112597641723625,39875.20625976417,2.018669859090386
15,-2.08,2.4,-162345.091,1.0,15184.682705757032,177529.77370575702,5.423688781631926
RESUMEN,,,,,6.8112597641723625,47413.08753931441,1.2671089140243628
