Number;X;Y;R1;Desirability
1;0.138;0.222;-36305.364;1
2;1.298;0.297;-18667.774;1
3;0.64;0;-40785.113;1
4;0;-0.4;-31779.964;1
5;0.64;-0.52;-2133.365;1
6;2.4;-1.5;-7843.449;1
7;-2.4;2.16;-259298.615;1
8;0.861;-0.24;-15634.061;1
9;-1.52;-2.8;-5117.796;1
10;3.843;-0.446;-1256.338;1
11;-0.16;-0.8;-6435.769;1
12;1.6;2.119;-8232.087;1
13;-1.52;-2.2;-29567.953;1
14;-3.6;1.32;-163257.913;1
15;1.698;1.297;-3363.423;1
