Number;X;Y;R1;Desirability
1;0.641;-0.156;-9167.24;1
2;1.562;1.53;-20001.044;1
3;0.64;0;-10925.458;1
4;3.8;-1.1;-7922.923;1
5;0.498;-0.503;-7179.604;1
6;-1.7;-2.1;-29427.901;1
7;-2.8;-0.28;-2378.201;1
8;0.861;-0.24;-6880.568;1
9;-3.2;2.96;-126493.942;1
10;1.44;-2.4;-627064.329;1
11;1.4;1.919;-14805.442;1
12;0.64;-0.52;-9572.439;1
13;3.843;-0.446;-8337.105;1
14;-1.96;-0.3;-29200.171;1
15;-0.18;3.8;-2637.329;1
