Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.501,-3.281,-61791.663,1.0,25.598196400745977,61817.261196400745,4.532213807842697
2,-1.52,-2.8,-7848.003,1.0,7131.1510116490135,14979.154011649014,5.59646316882368
3,0.861,-0.24,-9124.123,1.0,5.317344699029027,9129.440344699029,2.2633870636724955
4,-2.72,-1.6,-3455.071,1.0,8348.99227141959,11804.06327141959,6.093307804468769
5,1.6,2.119,-24305.401,1.0,1758.0840952760461,26063.485095276046,2.14036468855193
6,1.563,2.14,-21364.866,1.0,1632.7420024815124,22997.608002481513,2.1804974203149152
7,3.618,-0.921,-9502.261,1.0,1567.8397087364604,11070.100708736461,1.5495692949978068
8,1.6,1.819,-13080.235,1.0,750.4060453307889,13830.641045330789,1.923476280072099
9,-3.2,0.12,-5296.272,1.0,83.2335416862426,5379.505541686242,6.211634245510597
10,-1.32,-2.6,-4017.705,1.0,2243.297005059,6261.002005059,5.317179703564664
11,-2.08,2.4,-693094.597,1.0,15184.682705757032,708279.2797057569,5.423688781631926
12,0.24,-0.12,-6531.724,1.0,11.247399532191903,6542.971399532192,2.8287806560424578
13,-2.0,0.52,-57945.271,1.0,46.728510578496,57991.9995105785,5.000039999840001
14,1.298,0.297,-7136.238,1.0,3.4727805428871026,7139.710780542888,1.7140633010481263
15,1.7,-1.7,-10552.768,1.0,627.6188439897605,11180.38684398976,2.5553864678361276
RESUMEN,,,,,3.4727805428871026,64964.440630875906,1.5495692949978068
