Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,2.098,1.097,-800772.689,1.0,194.33815354805836,800967.0271535481,1.0816713918746304
2,1.2,3.36,-362074.718,1.0,4803.724998429995,366878.44299843,3.379289866229294
3,1.2,2.319,-1263775.695,1.0,614.6853496276183,1264390.3803496277,2.5590547082858546
4,-2.16,-1.2,-1375990.715,1.0,655.7373012960395,1376646.4523012962,5.4328261521974
5,-2.72,-1.6,-903222.524,1.0,8348.99227141959,911571.5162714196,6.093307804468769
6,-0.16,-0.8,-1708231.251,1.0,16.852193850142513,1708248.10319385,3.416957711181103
7,-2.5,-2.9,-277268.666,1.0,152564.13891601562,429832.80491601565,6.466065264130885
8,1.6,3.0,-684923.789,1.0,13041.660789000014,697965.449789,2.8653097563788803
9,-0.08,2.8,-537653.217,1.0,14.760319831787854,537667.9773198317,3.8440083246527963
10,-2.8,-0.28,-607916.346,1.0,92.82673666182521,608009.1727366619,5.852213256538077
11,0.8,0.4,-1733909.245,1.0,6.901647701824,1733916.146647702,2.202271554554524
12,1.563,2.14,-1217582.329,1.0,1632.7420024815124,1219215.0710024815,2.1804974203149152
13,1.661,0.56,-1069520.353,1.0,5.834853018271449,1069526.187853018,1.3403436126605746
14,1.562,1.53,-1355273.567,1.0,262.82989346707205,1355536.396893467,1.7688255990911033
15,1.782,-0.248,-352130.443,1.0,1.5366347117884218,352131.9796347118,1.4293453046762352
RESUMEN,,,,,1.5366347117884218,962166.873937404,1.0816713918746304
