Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,3.828,-1.16,-39206.77,1.0,8253.164534218367,47459.934534218366,1.855042856647792
2,-0.18,3.8,-106289.743,1.0,15.564743282038359,106305.30774328204,4.582837548942795
3,1.298,0.297,-32605.791,1.0,3.4727805428871026,32609.26378054289,1.7140633010481263
4,1.363,1.94,-5040.38,1.0,459.8794906108849,5500.259490610885,2.180222236378668
5,3.8,-1.1,-45898.662,1.0,5802.582703335422,51701.24470333542,1.7888543819998317
6,1.782,-0.248,-857.37,1.0,1.5366347117884218,858.9066347117885,1.4293453046762352
7,1.2,2.319,-9653.794,1.0,614.6853496276183,10268.479349627618,2.5590547082858546
8,-1.92,-3.2,-1484269.659,1.0,57768.240914689304,1542037.8999146894,6.156005198178442
9,2.4,3.8,-92690.167,1.0,582700.9212870385,675391.0882870385,3.3541019662496843
10,3.843,-0.446,-19271.537,1.0,57.369709758453816,19328.906709758456,1.2671089140243628
11,-0.16,-0.8,-45720.83,1.0,16.852193850142513,45737.682193850145,3.416957711181103
12,-0.16,-2.12,-871227.502,1.0,18.347841370951222,871245.849841371,4.104875150354759
13,-1.7,-2.1,-688479.135,1.0,2807.0127589598487,691286.1477589599,5.371219600798314
14,-0.16,-3.2,-2080347.79,1.0,20.379769700205483,2080368.1697697002,4.865757906020398
15,-2.52,-1.4,-20115.286,1.0,2760.004120613674,22875.290120613674,5.837842067065535
RESUMEN,,,,,1.5366347117884218,413531.628722154,1.2671089140243628
