Number;X;Y;R1;Desirability
1;0.501;-3.281;-61791.663;1
2;-1.52;-2.8;-7848.003;1
3;0.861;-0.24;-9124.123;1
4;-2.72;-1.6;-3455.071;1
5;1.6;2.119;-24305.401;1
6;1.563;2.14;-21364.866;1
7;3.618;-0.921;-9502.261;1
8;1.6;1.819;-13080.235;1
9;-3.2;0.12;-5296.272;1
10;-1.32;-2.6;-4017.705;1
11;-2.08;2.4;-693094.597;1
12;0.24;-0.12;-6531.724;1
13;-2;0.52;-57945.271;1
14;1.298;0.297;-7136.238;1
15;1.7;-1.7;-10552.768;1
