Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.641,-0.156,-9167.24,1.0,7.129534957569426,9174.36953495757,2.448513222345348
2,1.562,1.53,-20001.044,1.0,262.82989346707205,20263.873893467073,1.7688255990911033
3,0.64,0.0,-10925.458,1.0,7.271924999999999,10932.729925,2.4123847122712414
4,3.8,-1.1,-7922.923,1.0,5802.582703335422,13725.50570333542,1.7888543819998317
5,0.498,-0.503,-7179.604,1.0,8.315581321405526,7187.9195813214055,2.695554302921757
6,-1.7,-2.1,-29427.901,1.0,2807.0127589598487,32234.91375895985,5.371219600798314
7,-2.8,-0.28,-2378.201,1.0,92.82673666182521,2471.027736661825,5.852213256538077
8,0.861,-0.24,-6880.568,1.0,5.317344699029027,6885.885344699029,2.2633870636724955
9,-3.2,2.96,-126493.942,1.0,721401.2211243692,847895.1631243692,6.6702023957298335
10,1.44,-2.4,-627064.329,1.0,1781.6638189948312,628845.9928189949,3.292962192312569
11,1.4,1.919,-14805.442,1.0,497.89055480865005,15303.332554808649,2.1385885532285074
12,0.64,-0.52,-9572.439,1.0,7.034191738943526,9579.473191738944,2.570992026436488
13,3.843,-0.446,-8337.105,1.0,57.369709758453816,8394.474709758453,1.2671089140243628
14,-1.96,-0.3,-29200.171,1.0,60.06890007389759,29260.239900073895,5.024101909794426
15,-0.18,3.8,-2637.329,1.0,15.564743282038359,2652.8937432820385,4.582837548942795
RESUMEN,,,,,5.317344699029027,109653.85303476188,1.2671089140243628
