Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,1.957,2.976,-13379.475,1.0,40488.623719471434,53868.09871947143,2.6867126753711497
2,0.982,0.552,-28372.495,1.0,6.8112597641723625,28379.306259764173,2.018669859090386
3,2.8,-1.3,-18073.405,1.0,2528.5865119199343,20601.991511919932,1.8110770276274835
4,-0.18,3.8,-18575.0,1.0,15.564743282038359,18590.564743282037,4.582837548942795
5,-3.2,0.12,-20438.831,1.0,83.2335416862426,20522.064541686243,6.211634245510597
6,1.17,3.5,-4185.496,1.0,5255.565766004389,9441.06176600439,3.514100169317887
7,-1.52,-2.8,-3718.893,1.0,7131.1510116490135,10850.044011649014,5.59646316882368
8,-3.2,-0.08,-9283.83,1.0,89.10943440867271,9372.939434408672,6.22706993697678
9,-0.8,-0.68,-12519.995,1.0,32.142942143860985,12552.137942143861,3.978994847948411
10,1.6,3.0,-44636.575,1.0,13041.660789000014,57678.23578900001,2.8653097563788803
11,-0.16,-0.8,-5786.151,1.0,16.852193850142513,5803.003193850142,3.416957711181103
12,-2.4,2.16,-113748.652,1.0,19028.956341358877,132777.6083413589,5.649389347531289
13,1.6,1.05,-3161.225,1.0,47.808006383424015,3209.033006383424,1.5041608956491324
14,1.24,-2.8,-35771.666,1.0,1818.7624868758,37590.4284868758,3.7399999999999998
15,0.138,0.222,-21513.772,1.0,12.58925642836629,21526.36125642837,2.8754700485311964
RESUMEN,,,,,6.8112597641723625,29517.525266948425,1.5041608956491324
