Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,-3.404,0.529,-194220.03,1.0,88.81558803095834,194308.84558803096,6.4040656617495735
2,3.8,-1.1,-1100.744,1.0,5802.582703335422,6903.326703335421,1.7888543819998317
3,1.3,2.1,-128.081,1.0,548.8439431978894,676.9249431978894,2.3345235059857505
4,1.04,-0.92,-15910.478,1.0,5.267214120511029,15915.74521412051,2.4203305559365234
5,0.64,0.0,-4374.944,1.0,7.271924999999999,4382.215925,2.4123847122712414
6,0.64,-0.52,-4815.286,1.0,7.034191738943526,4822.320191738943,2.570992026436488
7,-2.12,-1.6,-6652.74,1.0,2217.2114200266356,8869.951420026635,5.533931694554966
8,1.4,1.919,-7161.902,1.0,497.89055480865005,7659.7925548086505,2.1385885532285074
9,3.1,-1.3,-101129.434,1.0,4614.791368443931,105744.22536844392,1.8027756377319948
10,-2.8,-0.28,-2596.464,1.0,92.82673666182521,2689.290736661825,5.852213256538077
11,2.4,-1.2,-116445.103,1.0,640.5511626483838,117085.65416264838,1.8027756377319946
12,1.598,1.647,-11207.596,1.0,434.73243216333634,11642.328432163336,1.8114118802746104
13,1.562,1.53,-6246.821,1.0,262.82989346707205,6509.650893467072,1.7688255990911033
14,0.0,-0.4,-3375.962,1.0,14.203125,3390.165125,3.132091952673165
15,-0.88,1.2,-140114.02,1.0,25.19102268300764,140139.21102268298,3.942638710305574
RESUMEN,,,,,5.267214120511029,42049.30988542177,1.7688255990911033
