Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.112,1.389,-138.447,66.961644336977,205.408644336977,306.75567538825794
2,-0.423,-4.576,-98.111,419.7730288132169,517.8840288132169,123.37239252302122
3,0.42,-2.48,-691.826,177.17032912,868.99632912,490.4863773952897
4,-3.6,-2.4,-1457.1,23.6192,1480.7192,6269.133586234928
5,5.85,-0.884,-19.032,499.1444069299358,518.1764069299359,103.81292462376956
6,-4.8,-4.034,-837.406,84.10516060033599,921.511160600336,1095.6654193662578
7,5.7,-2.91,9.939,396.5980576100001,386.6590576100001,97.4939362890744
8,-1.8,0.66,-595.201,120.37318735999999,715.57418736,594.4631051597337
9,-3.24,-3.6,-1397.873,24.22808575999998,1422.10108576,5869.6386493226655
10,0.653,0.311,-96.608,144.386761611122,240.99476161112202,166.9091812310294
11,1.773,-2.543,-135.619,109.68622262264199,245.305222622642,223.64269345528984
12,-3.567,-5.562,-44.517,429.6239725934571,474.1409725934571,110.36185195422634
13,-5.692,-1.882,-22.81,464.6318712002721,487.4418712002721,104.90926288398501
14,-0.507,-0.582,-805.663,179.638695964577,985.301695964577,548.4907862829671
15,-2.857,0.497,-628.238,97.83010600368202,726.068106003682,742.1724616922679
