Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.739,-3.004,2.946,2.941740326897001,0.004259673102999351,0.1448011255124115
2,-3.119,2.841,6.672,6.655419346881999,0.016580653118000832,0.2491301036615929
3,-3.54,-3.45,5.537,5.536664809999996,0.0003351900000039265,0.006054005642503881
4,3.9,-1.409,9.088,9.08819944896099,0.00019944896099133302,0.002194592692550724
5,3.788,-2.123,3.165,3.180297817776999,0.015297817776998901,0.4810184031032649
6,-3.45,3.21,16.934,16.933943060000004,5.693999999678567e-05,0.0003362477350670013
7,-2.932,3.487,6.15,6.134522727937,0.015477272063000314,0.2522979007399524
8,3.653,-1.189,5.072,5.072537649122,0.0005376491220001611,0.010599214026400025
9,-2.7,2.46,14.873,14.873322560000004,0.00032256000000430163,0.0021687151522672386
10,2.55,1.53,13.254,13.254359060000006,0.0003590600000062949,0.0027089955718031886
11,-4.2,-3.434,10.63,10.629321630736,0.0006783692640013328,0.0063820560480524376
12,2.334,2.315,10.973,10.961604553761,0.011395446239001572,0.10395783010701401
13,4.02,-0.9,22.86,22.85990815999996,9.184000003870096e-05,0.0004017513954819892
14,-4.242,-3.312,13.636,13.635618908432008,0.0003810915679913762,0.002794824133400475
15,-3.423,-3.076,6.489,6.489167561217,0.00016756121700023385,0.0025821681351191504
