Number;X;Y;eval
1;-2.463;-2.462;0.946
2;-2.4;-3.6;-38.395
3;-1.95;-2.39;6.262
4;2.698;-0.922;4.96
5;-2.72;-2.603;-1.495
6;2.88;-1.2;5.912
7;-2.651;-2.195;3.527
8;3.1;-0.67;4.368
9;2.905;-1.127;5.289
10;2.805;-0.75;4.105
11;2.675;-0.425;5.114
12;-2.2;-2.5;2.205
13;0.101;-3.998;-0.07
14;-2.771;-2.301;2.881
15;3.08;-0.4;5.665
