Number,X,Y,eval,real
1,4.0,0.0,19.236,16.0
2,4.0,-0.051,19.243,16.511639550097055
3,4.0,-0.112,19.268,18.388118889885522
4,4.0,-0.155,19.295,20.403191221478693
5,1.022,-4.0,20.053,17.139869743033486
6,1.064,-4.0,20.058,17.929777526341297
7,0.939,-4.0,20.076,17.60726946665339
8,0.928,-1.673,20.811,19.317571265110875
9,-4.0,-1.239,24.557,26.84452074285595
10,-4.0,-1.233,24.557,26.454177457247404
11,-4.0,-1.2,24.563,24.34983005625052
12,1.116,4.0,28.03,19.78604454575818
13,1.049,4.0,28.039,17.57060758482781
14,0.965,4.0,28.074,17.17205738061253
15,-4.0,4.0,32.185,32.0
