Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-1.0,-1.0,2.0,2.0,0.0,0.0
2,1.0,-1.0,2.0,2.0,0.0,0.0
3,-1.0,1.0,2.0,2.0,0.0,0.0
4,1.0,1.0,2.0,2.0,0.0,0.0
5,-1.0,-0.333333,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
6,-1.0,0.333333,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
7,1.0,-0.333333,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
8,1.0,0.333333,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
9,-0.333333,-1.0,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
10,0.333333,-1.0,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
11,0.333333,1.0,16.11109275,16.11109275088439,8.843876742048451e-10,5.489309061027523e-09
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
