Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-0.5,-0.5,40.5,40.5,0.0,0.0
2,0.5,-0.5,40.5,40.5,0.0,0.0
3,-0.5,0.5,40.5,40.5,0.0,0.0
4,0.5,0.5,40.5,40.5,0.0,0.0
5,-0.5,-0.166667,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
6,-0.5,0.166667,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
7,0.5,-0.166667,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
8,0.5,0.166667,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
9,-0.166667,-0.5,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
10,-0.166667,0.5,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
11,0.166667,0.5,25.27779603,25.277796026893608,3.1063933647601516e-09,1.2289019823782068e-08
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
