Variable,Sigma_%,MAE_mean,MAE_std,MRE_mean,MRE_std
Size,0.02,61.64,0.5,123.77,5.93
PdI,0.02,0.04,0.0,38.43,1.14
ZP,0.02,0.77,0.0,203.66,1.14
EE,0.02,32.14,0.43,46.09,0.93
DL,0.02,7.32,0.02,238.65,2.23
Size,0.05,61.64,1.19,128.77,18.92
PdI,0.05,0.04,0.0,38.65,2.84
ZP,0.05,0.77,0.01,203.67,2.45
EE,0.05,32.19,1.21,46.48,2.55
DL,0.05,7.31,0.05,238.61,5.75
Size,0.1,61.61,2.42,155.01,126.28
PdI,0.1,0.04,0.0,40.86,6.09
ZP,0.1,0.77,0.01,205.96,5.45
EE,0.1,32.43,2.29,48.08,5.28
DL,0.1,7.31,0.1,241.49,11.8
