SIZE;;AFO-008(2);;;ERM-334(2);;;ERM-335;;;AFO-010;;;AFO-011;;;AFO-012;;;ERM-339;;;ERM-340;;;AFO-015(1);;;AFO-015(2);;;ERM-343;;;ERM-263;;;AFO-018(1);;;AFO-018(2);;;AFO-019;;;ERM-346;;;AFO-021;;;AFO-022;
PDI;0.439;0.513;0.529;0.575;0.573;0.553;0.084;0.075;0.07;0.192;0.181;0.189;0.194;0.195;0.178;0.183;0.197;0.187;0.104;0.104;0.12;0.227;0.207;0.161;0.146;0.162;0.153;0.13;0.15;0.163;0.227;0.227;0.229;0.227;0.278;0.331;0.119;0.122;0.106;0.13;0.119;0.128;0.476;0.486;0.483;0.329;0.339;0.323;0.33;0.339;0.33;0.126;0.119;0.117
X Intensity;R1.008(2);R2.008(2);R3.008(2);R1.334(2);R2.334(2);R3.334(2);R1.335;R2.335;R3.335;R1.010;R2.010;R3.010;R1.011;R2.011;R3.011;R1.012;R2.012;R3.012;R1.339;R2.339;R3.339;R1.340;R2.340;R3.340;R1.015(1);R2.015(1);R3.015(1);R1.015(2);R2.015(2);R3.015(2);R1.343;R2.343;R3.343;R1.263;R2.263;R3.263;R1.018(1);R2.018(1);R3.018(1);R1.018(2);R2.018(2);R3.018(2);R1.019;R2.019;R3.019;R1.346;R2.346;R3.346;R1.021;R2.021;R3.021;R1.022;R2.022;R3.022
8.72;0;0;0.329;0.525;0.441;0.0603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.09;7.07;6.98;0;0;0;0;0;0;0;0;0;5.76;6.12;6.08;8.88;9.02;8.71;6.23;6.59;6.6;0;0;0
10.1;0;0;0.633;0.991;0.891;0.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.38;9.08;9.12;0;0;0;0;0;0;0;0;0;6.2;6.39;6.63;11.1;11.2;10.8;8.33;8.87;8.81;0;0;0
11.7;0;0;0.82;1.22;1.18;1.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10.5;10.7;0;0;0;0;0;0;0;0;0;6.18;6.11;6.57;12.1;12.1;11.8;9.82;10.3;10.3;0;0;0
13.5;0;0;0.82;1.18;1.21;1.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.6;11.1;11.5;0;0;0;0;0;0;0;0;0;5.77;5.43;5.98;11.7;11.5;11.5;10.5;10.8;10.8;0;0;0
15.7;0;0;0.677;0.97;1.04;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.4;11;11.4;0;0;0;0;0;0;0;0;0;5.07;4.54;5.02;10.1;9.9;10;10.2;10.3;10.3;0;0;0
18.2;0;0;0.492;0.683;0.746;0.575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3;10.1;10.5;0;0;0;0;0;0;0;0;0;4.23;3.62;3.89;7.84;7.57;7.91;9.22;8.99;9.05;0;0;0
21;0;0;0.359;0.388;0.437;0.0355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.112;0;0;0;0;0;0;0;8.72;8.74;8.96;0.149;0;0;0;0;0;0;0;0;3.37;2.81;2.79;5.31;5.07;5.5;7.67;7.22;7.32;0;0;0
24.4;0;0;0.314;0.139;0.186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0899;0.558;0.0221;0;0;0;0;0;0;6.83;7.01;7.08;0.469;0;0;0;0;0;0;0;0;2.62;2.21;1.89;3.01;2.85;3.25;5.85;5.3;5.39;0;0;0
28.2;0;0;0.321;0;0.0387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581;1.44;0.58;0;0;0;0;0;0;4.89;5.2;5.09;0.758;0;0;0;0;0;0;0;0;2.06;1.87;1.3;1.3;1.22;1.51;4.03;3.48;3.56;0;0;0
32.7;0;0;0.309;0;0;0;0.0826;0.00779;0;0;0;0;0;0;0;0.0171;0;0;0;0;0;1.55;2.73;1.85;0;0;0;0;0;0;3.14;3.49;3.25;0.83;0.12;0.0884;0.0863;0;0;0;0;0.163;1.73;1.78;1.08;0.322;0.305;0.438;2.44;1.98;2.03;0;0;0
37.8;0;0;0.228;0;0;0;2.51;2.44;2.32;0;0;0;0;0;0;0.36;0.428;0;0;0;0;2.92;4.34;3.75;0;0;0;0;0;0;1.74;2.06;1.76;0.637;0.491;0.455;1.03;0.872;0;0.322;0.889;1.32;1.65;1.93;1.21;0;0;0.00982;1.21;0.887;0.918;0;0;0
43.8;0;0;0.096;0;0;0;7;7.03;7.03;0;0;0;0;0;0;1.21;1.46;0.464;0;0;0;4.53;6.08;6.03;0;0;0;0;0;0;0.756;0.999;0.724;0.298;0.978;1.04;3.04;2.97;1.4;2.51;3.04;3.57;1.79;2.24;1.62;0;0;0;0.431;0.244;0.263;0;0;0
50.7;0;0;0;0;0;0;12.1;12.3;12.5;0;0;0;0;0;0;2.62;3.04;1.93;0;0;0;6.18;7.77;8.34;0;0;0;0;0;0;0.202;0.345;0.17;0.051;1.47;1.72;5.89;5.98;4.77;6.17;6.19;6.54;2.1;2.65;2.23;0;0;0;0.0599;0;0;0;0;0
58.8;0;0;0;0;0;0;16.1;16.4;16.9;0;0;0;0;0;0;4.47;4.95;4.32;1.37;0.428;1.58;7.68;9.19;10.3;0;0;0;0;0;0;0;0.052;0;0.168;1.96;2.41;9.04;9.29;9.24;10.2;9.69;9.61;2.51;3.09;2.93;0;0;0;0;0.058;0;0.988;1.38;0.592
68.1;0;0;0;0;0;0;17.8;18.1;18.6;0;0;0;0;0;0;6.54;6.94;7.18;4.9;3.39;4.89;8.88;10.2;11.7;0;0.0164;0;0.482;0.691;0.583;0;0;0;0.863;2.54;3.07;11.9;12.2;13.5;13.5;12.7;12.2;2.95;3.49;3.6;0;0.0354;0.0381;0.0853;0.339;0.194;3.81;4.44;3.4
78.8;0;0;0;0;0;0;16.7;16.9;17.2;0;0;0;0;0;0;8.56;8.75;9.92;9.71;8.42;9.12;9.65;10.6;12.2;0.528;1.41;0.772;2.91;2.68;2.3;0;0;0;2.22;3.28;3.7;13.8;14;16.2;15.2;14.6;13.7;3.35;3.8;4.15;0.0421;0.174;0.173;0.305;0.75;0.528;7.97;8.53;7.95
91.3;0;0;0;0;0;0;13.4;13.4;13.3;0;0;0;0;0;0;10.2;10.1;12;14.3;13.8;13.1;9.93;10.4;11.8;2.64;4.18;3.2;7.01;5.8;5.04;0;0;0;4.16;4.26;4.34;14.3;14.4;16.7;15.1;14.9;13.9;3.66;3.98;4.52;0.202;0.422;0.405;0.619;1.2;0.931;12.3;12.5;12.8
106;0;0;0;0;0;0;8.82;8.54;8.11;0;0;0;0;0;0;11.3;11;13.1;17.1;17.6;15.8;9.71;9.7;10.6;6.18;7.65;6.94;11.6;9.41;8.32;0;0;0;6.44;5.44;5.01;13.4;13.4;15;13.4;13.6;12.8;3.85;4.02;4.67;0.483;0.748;0.705;0.976;1.62;1.33;15.6;15.4;16.4
122;0;0;0;0;0;0;4.34;3.97;3.4;0;0;0;0.429;0.51;0.231;11.6;11.1;13;17.5;18.7;16.4;9.05;8.45;8.72;10.3;11;11;15.3;12.7;11.4;0;0;0;8.73;6.72;5.7;11.2;11.1;11.5;10.5;10.9;10.6;3.88;3.91;4.59;0.849;1.11;1.03;1.32;1.94;1.68;16.8;16.3;17.6
142;0;0;0;0;0;0;1.21;0.967;0.591;0.442;0.173;0.699;2.12;1.91;1.27;11.1;10.6;11.8;15.2;16.6;14.9;8.02;6.86;6.5;13.8;13.4;14.4;17.1;14.8;13.7;0;0;0;10.6;7.94;6.39;8.25;8.06;7.32;7.15;7.5;7.78;3.76;3.66;4.28;1.24;1.44;1.33;1.61;2.13;1.92;15.8;15.1;16.2
