SIZE;;ERM-262;;;ERM-263;;;ERM-263(r) ;;;ERM-264(1);;;ERM-264(1r);;;ERM-264(2);;;ERM-264(2r);;;ERM-265;;;ERM-266;;;ERM-267;;;ERM-267(r) ;;;ERM-268(1);;;ERM-268(2);;;ERM-269;;;ERM-270(1);;;ERM-270(1r);;;ERM-270(2);;;ERM-270(2r);;;ERM-271;;;ERM-272;;;ERM-273;;;ERM-274;;;ERM-275;;;ERM-276;
PDI;0.586;0.579;0.564;0.353;0.378;0.349;0.227;0.278;0.331;1;1;1;0.621;0.616;0.616;1;1;1;0.437;0.438;0.436;0.131;0.134;0.143;0.224;0.218;0.22;0.635;0.624;0.623;0.719;0.695;0.569;0.11;0.105;0.091;0.077;0.09;0.077;0.16;0.18;0.146;1;1;0.973;0.21;0.209;0.186;0.251;0.246;0.249;0.189;0.207;0.205;0.201;0.214;0.199;0.117;0.144;0.122;0.193;0.208;0.2;0.074;0.077;0.076;0.093;0.111;0.117;0.214;0.179;0.194
X Intensity;R1.262;R2.262;R3.262;R1.263;R2.263;R3.263;R1.263(r) ;R2.263(r) ;R3.263(r);R1.264(1);R2.264(1);R3.264(1);R1.264(1r);R2.264(1r);R3.264(1r);R1.264(2);R2.264(2);R3.264(2);R1.264(2r);R2.264(2r);R3.264(2r);R1.265;R2.265;R3.265;R1.266;R2.266;R3.266;R1.267;R2.267;R3.267;R1.267(r) ;R2.267(r) ;R3.267(r) ;R1.268(1);R2.268(1);R3.268(1);R1.268(2);R2.268(2);R3.268(2);R1.269;R2.269;R3.269;R1.270(1);R2.270(1);R3.270(1);R1.270(1r);R2.270(1r);R3.270(1r);R1.270(2);R2.270(2);R3.270(2);R1.270(2r);R2.270(2r);R3.270(2r);R1.271;R2.271;R3.271;R1.272;R2.272;R3.272;R1.273;R2.273;R3.273;R1.274;R2.274;R3.274;R1.275;R2.275;R3.275;R1.276;R2.276;R3.276
1.11E+03;0;0;0;0;0;0.125;0;0;0.0791;8.54;6.8;7.85;0.275;0.45;0.218;10.9;8.12;9.54;0;0.00716;0.00286;0;0;0;0.103;0.09;0.0727;9.65;7.99;7.68;9.52;10.2;9.85;0;0;0;0;0;0;0;0;0;1.97;0;0;0;0;0;0.394;0.156;0;0;0;0;0.264;0.304;0.185;0;0;0;0;0;0;0;0;0;0;0;0;0.291;0.133;0
1.28E+03;0;0;0;0;0;0.0156;0;0;0;7.07;6.73;7.64;0.173;0.304;0.0832;9.32;7.62;8.47;0;0.029;0;0;0;0;0.156;0.139;0.128;5.63;5.8;5.2;7.87;8.58;7.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.48E+03;0;0;0;0;0;0;0;0;0;5.27;6.29;6.9;0.108;0.191;0.0169;7.07;6.75;6.81;0.00887;0.0683;0;0;0;0;0.215;0.195;0.196;2.26;3.7;2.97;6.02;6.41;5.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.72E+03;0;0;0;0;0;0;0;0;0;3.45;5.52;5.71;0.0723;0.109;0;4.61;5.65;4.88;0.0382;0.124;0;0;0;0;0.276;0.252;0.27;0.361;1.98;1.3;4.21;4.1;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.99E+03;0;0;0;0;0;0;0;0;0;1.89;4.5;4.26;0.0607;0.0538;0;2.43;4.45;2.99;0.091;0.191;0;0;0;0;0.333;0.307;0.346;0;0.788;0.328;2.64;2.07;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.30E+03;0;0;0;0;0;0;0;0;0;0.774;3.35;2.77;0.0662;0.0209;0;0.892;3.3;1.44;0.164;0.264;0;0;0;0;0.384;0.356;0.417;0;0.169;0;1.41;0.654;0.273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.67E+03;0;0.0119;0;0.0262;0;0;0;0;0;0.174;2.2;1.46;0.0824;0.00487;0;0.136;2.31;0.41;0.249;0.335;0;0;0;0;0.424;0.394;0.476;0;0;0;0.588;0.0164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.09E+03;0;0.085;0;0.0961;0;0;0;0;0;0;1.22;0.54;0.103;0;0;0;1.55;0;0.336;0.397;0;0;0;0;0.449;0.419;0.52;0;0;0;0.147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.58E+03;0.0727;0.226;0;0.205;0;0;0;0.06;0;0;0.502;0.0777;0.123;0;0;0;1.05;0.155;0.413;0.443;0;0;0;0;0.457;0.427;0.542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.15E+03;0.235;0.409;0;0.332;0;0;0.137;0.281;0;0;0.11;0;0.137;0;0;0.275;0.786;0.757;0.468;0.466;0;0;0;0;0.446;0.417;0.539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.80E+03;0.45;0.591;0;0.448;0;0;0.672;0.637;0;0;0;0;0.143;0;0;0.872;0.695;1.59;0.491;0.461;0;0;0;0;0.415;0.389;0.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.56E+03;0.649;0.722;0;0.522;0;0;1.49;1.02;0;0;0;0;0.137;0;0;1.62;0.697;2.36;0.475;0.425;0;0;0;0;0.364;0.341;0.454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.44E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.46E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.63E+03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
