Number;X;Y;eval
1;3.593;-1.879;0.016
2;3.018;2.007;0.015
3;-2.811;3.131;0.001
4;-3.779;-3.266;0.012
5;3.569;-1.801;0.04
6;3.03;1.951;0.045
7;2.977;2.052;0.043
8;-2.767;3.133;0.046
9;-3.767;-3.309;0.048
