Number;X;Y;eval
1;0.42;-0.516;-314.071
2;0.75;1.38;-77.348
3;0.68;1.2;-161.897
4;0.6;-0.26;-399.762
5;0.708;-0.312;-344.54
6;-0.188;0.2;-277.294
7;0.4;0.889;-290.193
8;-0.195;1.027;-32.002
9;0.194;-0.6;-236.183
10;0.701;-0.576;-210.34
11;0.9;-0.42;-182.353
12;1.103;0.416;-201.313
13;0.237;1.285;-66.696
14;-0.556;0.449;-6.206
15;0.61;-0.652;-193.27
