Number;X;Y;eval
1;1.02;1.043;0.002
2;0.917;0.835;0.01
3;0.899;0.807;0.01
4;0.933;0.864;0.008
5;0.986;0.971;0
6;0.968;0.932;0.004
7;1.027;1.058;0.001
8;1.059;1.126;0.006
9;1.09;1.183;0.009
10;0.922;0.849;0.006
11;1.075;1.152;0.007
12;1.013;1.02;0.003
13;1.053;1.112;0.003
14;1;0.995;0.002
15;0.976;0.947;0.004
