Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.138,0.222,-36305.364,12.621434866047583,36317.98543486605,287748.46774801816
2,1.298,0.297,-18667.774,3.3349103653986445,18671.1089103654,559868.3881908028
3,0.64,0.0,-40785.113,7.271924999999999,40792.384925,560957.1733069305
4,0.0,-0.4,-31779.964,14.203125,31794.167125,223853.3218921892
5,0.64,-0.52,-2133.365,7.048294774454373,2140.4132947744542,30367.817511437006
6,2.4,-1.5,-7843.449,109.828125,7953.277125,7241.566880068288
7,-2.4,2.16,-259298.615,411.67957444367613,259710.29457444366,63085.542906859926
8,0.861,-0.24,-15634.061,5.326332491218231,15639.387332491218,293623.9402680286
9,-1.52,-2.8,-5117.796,1526.4636712015988,6644.259671201599,435.2713920778333
10,3.843,-0.446,-1256.338,19.575878387177074,1275.913878387177,6517.786089348347
11,-0.16,-0.8,-6435.769,16.741192046400002,6452.5101920464,38542.71651721442
12,1.6,2.119,-8232.087,336.2141869989757,8568.301186998975,2548.46509110131
13,-1.52,-2.2,-29567.953,466.67290384160015,30034.625903841603,6435.905246822745
14,-3.6,1.32,-163257.913,4.522280110871047,163262.43528011086,3610179.6279192553
15,1.698,1.297,-3363.423,37.08737686898118,3400.510376868981,9168.915852102418
