Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.641,-0.156,-9167.24,7.1420159879117575,9174.382015987912,128456.47547577662
2,1.562,1.53,-20001.044,68.61477369519852,20069.6587736952,29249.763123680783
3,0.64,0.0,-10925.458,7.271924999999999,10932.729925,150341.62102881976
4,3.8,-1.1,-7922.923,90.12849984000002,8013.051499839999,8890.696632103178
5,0.498,-0.503,-7179.604,8.350178476688551,7187.954178476689,86081.4436307382
6,-1.7,-2.1,-29427.901,461.16682869,29889.06782869,6481.183374266859
7,-2.8,-0.28,-2378.201,79.28189781038336,2457.4828978103833,3099.677184428515
8,0.861,-0.24,-6880.568,5.326332491218231,6885.894332491219,129280.21943512367
9,-3.2,2.96,-126493.942,6487.367938525975,132981.30993852596,2049.849973034538
10,1.44,-2.4,-627064.329,444.91972419359985,627509.2487241937,141038.7570165675
11,1.4,1.919,-14805.442,167.45475843524554,14972.896758435245,8941.45791875197
12,0.64,-0.52,-9572.439,7.048294774454373,9579.487294774455,135912.12628470166
13,3.843,-0.446,-8337.105,19.575878387177074,8356.680878387177,42688.663635452045
14,-1.96,-0.3,-29200.171,54.1665348864,29254.3375348864,54008.13915130374
15,-0.18,3.8,-2637.329,51.03326288159999,2688.3622628816,5267.86278415854
