Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,1.937,-2.876,-172928.203,2363.1923491543557,175291.39534915437,7417.567825652473
2,1.198,0.647,-32498.477,6.64113401116534,32505.118134011165,489451.32080398104
3,3.628,-0.96,-46488.706,53.09329031361703,46541.79929031362,87660.41625108488
4,2.2,-1.9,-43682.634,302.74282303999996,43985.376823039995,14528.957740883727
5,-2.12,-1.0,-20596.724,85.13832500000001,20681.862325,24292.070962166566
6,3.843,-0.446,-3605.199,19.575878387177074,3624.774878387177,18516.537581074976
7,0.9,1.1,-8085.467,17.020165410000004,8102.48716541,47605.21986848304
8,-2.16,-1.2,-30319.029,113.3239297104,30432.3529297104,26854.30430049546
9,-0.8,-0.68,-25200.406,28.788152355279358,25229.194152355278,87637.42056453507
10,0.8,0.4,-44939.33,7.05061044,44946.38061044,637482.1158101028
11,-0.16,-0.8,-4042.752,16.741192046400002,4059.4931920464,24248.531292127114
12,-3.2,0.12,-16865.393,81.69644310287617,16947.089443102876,20743.974644969876
13,0.498,-0.503,-5049.4,8.350178476688551,5057.750178476688,60570.563762158665
14,0.982,0.552,-39868.395,6.849387488443613,39875.24438748844,582172.4125663287
15,-2.08,2.4,-162345.091,638.8790378063998,162983.97003780637,25510.927795880445
