Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,2.098,1.097,-800772.689,20.934855626805444,800793.6238556268,3825169.077499026
2,1.2,3.36,-362074.718,2435.655592669155,364510.37359266914,14965.595903204616
3,1.2,2.319,-1263775.695,334.4431127997521,1264110.1381127997,377974.6359643788
4,-2.16,-1.2,-1375990.715,113.3239297104,1376104.0389297104,1214310.201249068
5,-2.72,-1.6,-903222.524,349.2441828944002,903571.7681828943,258722.06680564937
6,-0.16,-0.8,-1708231.251,16.741192046400002,1708247.9921920463,10203861.155510638
7,-2.5,-2.9,-277268.666,4760.317631249999,282028.98363125004,5924.583304689961
8,1.6,3.0,-684923.789,2204.4431250000002,687128.232125,31170.150154134728
9,-0.08,2.8,-537653.217,5.638561185600001,537658.8555611855,9535390.995388713
10,-2.8,-0.28,-607916.346,79.28189781038336,607995.6278978104,766878.2467240369
11,0.8,0.4,-1733909.245,7.05061044,1733916.2956104402,24592427.994226843
12,1.563,2.14,-1217582.329,340.6153888702638,1217922.9443888701,357565.4489447515
13,1.661,0.56,-1069520.353,3.4002399389978875,1069523.753239939,31454361.234141234
14,1.562,1.53,-1355273.567,68.61477369519852,1355342.1817736952,1975292.0672658845
15,1.782,-0.248,-352130.443,1.523266155255528,352131.9662661553,23116903.441413697
