Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,3.828,-1.16,-39206.77,110.10360336926956,39316.87360336927,35708.97990641312
2,-0.18,3.8,-106289.743,51.03326288159999,106340.7762628816,208375.42077134695
3,1.298,0.297,-32605.791,3.3349103653986445,32609.1259103654,977811.1654424454
4,1.363,1.94,-5040.38,169.68591333045862,5210.065913330459,3070.417461928027
5,3.8,-1.1,-45898.662,90.12849984000002,45988.79049984,51025.80269446543
6,1.782,-0.248,-857.37,1.523266155255528,858.8932661552556,56384.97666293755
7,1.2,2.319,-9653.794,334.4431127997521,9988.237112799752,2986.527971583679
8,-1.92,-3.2,-1484269.659,4882.2272160336015,1489151.8862160335,30501.486725680174
9,2.4,3.8,-92690.167,18660.53839283999,111350.70539284,596.7175386298877
10,3.843,-0.446,-19271.537,19.575878387177074,19291.11287838718,98545.32448987613
11,-0.16,-0.8,-45720.83,16.741192046400002,45737.5711920464,273203.79017981415
12,-0.16,-2.12,-871227.502,25.427724309936234,871252.92972431,3426389.7118935487
13,-1.7,-2.1,-688479.135,461.16682869,688940.30182869,149390.68878516436
14,-0.16,-3.2,-2080347.79,69.75980785440002,2080417.5498078545,2982258.14232462
15,-2.52,-1.4,-20115.286,202.44163825439995,20317.7276382544,10036.338281713548
