Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.404,0.529,-194220.03,62.26030669431141,194282.2903066943,312048.39908770553
2,3.8,-1.1,-1100.744,90.12849984000002,1190.8724998399998,1321.3051387231428
3,1.3,2.1,-128.081,231.85190349000004,359.93290349000006,155.24259153021112
4,1.04,-0.92,-15910.478,5.216860356589671,15915.694860356589,305081.8648088346
5,0.64,0.0,-4374.944,7.271924999999999,4382.215925,60262.11663349115
6,0.64,-0.52,-4815.286,7.048294774454373,4822.334294774454,68418.45366984901
7,-2.12,-1.6,-6652.74,230.61096523040007,6883.3509652304,2984.832468115011
8,1.4,1.919,-7161.902,167.45475843524554,7329.356758435246,4376.917578767698
9,3.1,-1.3,-101129.434,104.04164549000002,101233.47564548999,97300.91750155957
10,-2.8,-0.28,-2596.464,79.28189781038336,2675.745897810383,3374.9771028563187
11,2.4,-1.2,-116445.103,40.60168883999999,116485.70468884001,286898.66854523687
12,1.598,1.647,-11207.596,97.97732376695143,11305.57332376695,11538.969313612151
13,1.562,1.53,-6246.821,68.61477369519852,6315.435773695199,9204.19238245937
14,0.0,-0.4,-3375.962,14.203125,3390.165125,23869.149394939494
15,-0.88,1.2,-140114.02,9.160684449600001,140123.1806844496,1529614.751554596
