Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-3.85,-3.35,0.36,0.3620125000000022,0.002012500000002193,0.5559200303862936
2,-3.75,-3.35,0.31,0.3059124999999999,0.004087500000000077,1.3361663874474166
3,-3.85,-3.25,0.41,0.4104125000000016,0.00041250000000164766,0.10050863460582854
4,-3.75,-3.25,0.07,0.0703125,0.00031249999999999334,0.444444444444435
5,-3.85,-3.31667,0.28,0.2784540455033535,0.0015459544966465177,0.5551919685174405
6,-3.85,-3.28333,0.3,0.29556852993313154,0.004431470066868448,1.4993037546558186
7,-3.75,-3.31667,0.13,0.12725242328335196,0.002747576716648048,2.159154730224697
8,-3.75,-3.28333,0.05,0.04968130771312884,0.00031869228687116113,0.6414732251239497
9,-3.81667,-3.35,0.21,0.21177392158927807,0.0017739215892780824,0.8376487416229131
10,-3.81667,-3.25,0.17,0.16507229936927797,0.004927700630722037,2.985177191782151
11,-3.78333,-3.25,0.05,0.052809054167202725,0.0028090541672027222,5.3192661968698856
12,-3.8,-3.3,0.03,0.027699999999999975,0.0023000000000000242,8.30324909747302
13,-3.8,-3.3,0.03,0.027699999999999975,0.0023000000000000242,8.30324909747302
14,-3.8,-3.3,0.03,0.027699999999999975,0.0023000000000000242,8.30324909747302
15,-3.8,-3.3,0.03,0.027699999999999975,0.0023000000000000242,8.30324909747302
