Number;X;Y;eval
1;-3.9;-3.4;1.09
2;3.6;-3.4;68.66
3;-3.9;-3;5.07
4;3.6;-3;32.44
5;-3.9;-3.13333;2.33
6;3.6;-3.26667;54.58
7;3.6;-3.13333;42.56
8;-1.4;-3.4;164.74
9;1.1;-3.4;206.01
10;-1.4;-3;145.32
11;1.1;-3;173.19
12;-0.15;-3.2;210.55
13;-0.15;-3.2;210.55
14;-0.15;-3.2;210.55
15;-0.15;-3.2;210.55
