Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-4.0,-3.5,3.81,3.8125,0.0024999999999999467,0.06557377049180188
2,-3.0,-3.5,35.31,35.3125,0.0024999999999977263,0.007079646017692676
3,-4.0,-2.5,28.81,28.8125,0.002500000000001279,0.008676789587856934
4,-3.0,-2.5,34.31,34.3125,0.0024999999999977263,0.007285974499082626
5,-4.0,-3.16667,4.31,4.306273889324076,0.003726110675923877,0.08652748923289544
6,-4.0,-2.83333,13.53,13.528676111412956,0.0013238885870432426,0.009785795565956332
7,-3.0,-3.16667,26.7,26.695251667124072,0.004748332875927019,0.017787181537511857
8,-3.0,-2.83333,27.25,27.250813889212957,0.0008138892129565534,0.0029866602012893484
9,-3.66667,-3.5,3.62,3.621079815400002,0.0010798154000020155,0.02982025956483187
10,-3.33333,-3.5,15.16,15.158342407837027,0.0016575921629726764,0.010935180894948535
11,-3.33333,-2.5,22.38,22.380480185637033,0.000480185637034225,0.00214555556025286
12,-3.5,-3.0,5.31,5.3125,0.002500000000000391,0.04705882352941912
13,-3.5,-3.0,5.31,5.3125,0.002500000000000391,0.04705882352941912
14,-3.5,-3.0,5.31,5.3125,0.002500000000000391,0.04705882352941912
15,-3.5,-3.0,5.31,5.3125,0.002500000000000391,0.04705882352941912
