Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,-4.0,-4.0,26.0,26.0,0.0,0.0
2,-2.0,-4.0,170.0,170.0,0.0,0.0
3,-4.0,-2.0,58.0,58.0,0.0,0.0
4,-2.0,-2.0,106.0,106.0,0.0,0.0
5,-4.0,-3.33333,2.79,2.790129630137036,0.0001296301370361519,0.0046460256052614
6,-4.0,-2.66667,20.57,20.567747407648152,0.0022525923518479374,0.01095206153207768
7,-2.0,-3.33333,111.23,111.23440518573705,0.004405185737041961,0.003960272659961878
8,-2.0,-2.66667,97.01,97.01234296324816,0.002342963248153751,0.002415118712307929
9,-3.33333,-4.0,47.23,47.23477851893702,0.00477851893702308,0.010116526607841108
10,-2.66667,-4.0,102.35,102.34535629644816,0.004643703551835188,0.004537287982450793
11,-3.33333,-2.0,43.68,43.679054074537035,0.0009459254629646807,0.002165627170749821
12,-3.0,-3.0,26.0,26.0,0.0,0.0
13,-3.0,-3.0,26.0,26.0,0.0,0.0
14,-3.0,-3.0,26.0,26.0,0.0,0.0
15,-3.0,-3.0,26.0,26.0,0.0,0.0
