Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.0,-1.0,14.203125,14.203125,0.0,0.0
2,4.0,-1.0,4519.203125,76.203125,4443.0,5830.469550953455
3,0.0,2.0,14.203125,14.203125,0.0,0.0
4,4.0,2.0,264643.2031,1171.203125,263471.999975,22495.841613725202
5,0.0,0.0,14.203125,14.203125,0.0,0.0
6,0.0,1.0,14.203125,14.203125,0.0,0.0
7,4.0,0.0,11.203125,11.203125,0.0,0.0
8,4.0,1.0,4127.203125,14.203125,4113.0,28958.415841584156
9,1.33333,-1.0,9.784652617,6.425331111199999,3.3593215058000014,52.28246525606074
10,2.66667,-1.0,420.6890523,27.092101111199998,393.5969511888,1452.810727279049
11,2.66667,2.0,23804.46629,575.7599069450999,23228.7063830549,4034.4431946126833
12,2.0,0.5,4.453125,1.578125,2.875,182.1782178217822
13,2.0,0.5,4.453125,1.578125,2.875,182.1782178217822
14,2.0,0.5,4.453125,1.578125,2.875,182.1782178217822
15,2.0,0.5,4.453125,1.578125,2.875,182.1782178217822
