Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,2.5,0.0,1.078125,1.078125,0.0,0.0
2,3.5,0.0,6.328125,6.328125,0.0,0.0
3,2.5,1.0,286.3125,14.203125,272.109375,1915.8415841584158
4,3.5,1.0,1887.25,14.203125,1873.046875,13187.56875687569
5,2.42628,0.5,5.69711118,0.5194471637249995,5.177664016275001,996.7643252001867
6,3.57372,0.5,26.20019577,0.5194471637249995,25.680748606275,4943.861551214599
7,3.0,-0.0737213,3.60278294,3.642242207669844,0.03945926766984398,1.0833784635945007
8,3.0,1.07372,1187.74668,21.445242954483476,1166.3014370455164,5438.508854951826
9,3.0,0.5,11.25,0.0,11.25,0.0
10,3.0,0.5,11.25,0.0,11.25,0.0
11,3.0,0.5,11.25,0.0,11.25,0.0
