Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,1.0,0.0,4.453125,4.453125,0.0,0.0
2,3.5,0.0,6.328125,6.328125,0.0,0.0
3,1.0,1.0,14.203125,14.203125,0.0,0.0
4,3.5,1.0,1887.25,14.203125,1873.046875,13187.56875687569
5,1.0,0.333333,5.309433484,5.3094334838828745,1.1712586456269491e-10,2.2059955156842624e-09
6,3.5,0.333333,1.215100857,1.9915376428335154,0.7764367858335155,38.9867994023361
7,3.5,0.666667,157.6232039,0.23073354253069575,157.3924703574693,68213.95304348978
8,1.83333,0.0,0.911464167,0.9114641667000002,2.999998027775064e-10,3.291405342501506e-08
9,2.66667,0.0,1.536469167,1.5364691666999994,3.0000046891132115e-10,1.952531657733534e-08
10,1.83333,1.0,64.87511189,14.203125,50.67198689,356.7664643520352
11,2.66667,1.0,405.0837982,14.203125,390.8806732,2752.0751468426843
12,2.25,0.5,4.978214264,0.8876953125,4.0905189515,460.80213491045106
13,2.25,0.5,4.978214264,0.8876953125,4.0905189515,460.80213491045106
14,2.25,0.5,4.978214264,0.8876953125,4.0905189515,460.80213491045106
15,2.25,0.5,4.978214264,0.8876953125,4.0905189515,460.80213491045106
