Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,1.02,1.043,0.002,0.0010759999999999672,0.0009240000000000329,85.87360594796107
2,0.917,0.835,0.01,0.010357032100000163,0.00035703210000016285,3.447243346867267
3,0.899,0.807,0.01,0.010345240099999998,0.000345240099999998,3.3371878918498763
4,0.933,0.864,0.008,0.008699712100000093,0.0006997121000000932,8.042933972494167
5,0.986,0.971,0.0,0.00033904159999999435,0.00033904159999999435,100.0
6,0.968,0.932,0.004,0.003548057599999919,0.0004519424000000811,12.737741348959258
7,1.027,1.058,0.001,0.0017989441000001562,0.0007989441000001562,44.41183580968896
8,1.059,1.126,0.006,0.0055231360999999386,0.00047686390000006157,8.633933536420853
9,1.09,1.183,0.009,0.010701000000000122,0.0017010000000001226,15.895710681245708
10,0.922,0.849,0.006,0.006201505600000012,0.00020150560000001174,3.249301266453929
11,1.075,1.152,0.007,0.006939062499999986,6.0937500000014105e-05,0.8781805899574219
12,1.013,1.02,0.003,0.003974656099999836,0.0009746560999998356,24.521771833288316
13,1.053,1.112,0.003,0.0038272481000000995,0.0008272481000000994,21.61469751595351
14,1.0,0.995,0.002,0.0025000000000000044,0.0005000000000000043,20.00000000000014
15,0.976,0.947,0.004,0.0036851776000000297,0.0003148223999999704,8.54293698083826
