Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.809,0.655,0.036,0.03650793609999997,0.0005079360999999741,1.3913032459810142
2,0.823,0.68,0.032,0.032042424100000064,4.2424100000063025e-05,0.13239978307403696
3,0.832,0.697,0.03,0.030505017600000014,0.0005050176000000149,1.6555230572953832
4,0.874,0.763,0.016,0.0159527376,4.7262400000001176e-05,0.2962651375899343
5,0.853,0.73,0.023,0.022180688100000023,0.000819311899999977,3.6938074071740634
6,1.09,1.183,0.01,0.010701000000000122,0.0007010000000001217,6.550789645828554
7,0.846,0.712,0.025,0.025096865599999966,9.686559999996444e-05,0.3859669232956508
8,0.859,0.748,0.031,0.03012041609999998,0.0008795839000000187,2.9202249300932444
9,0.917,0.824,0.034,0.03541283210000051,0.0014128321000005106,3.989604943233247
10,0.971,0.96,0.03,0.030284128100000123,0.0002841281000001243,0.9382079585118488
11,0.896,0.791,0.025,0.024777785600000112,0.0002222143999998892,0.8968291339153738
12,1.16,1.348,0.027,0.02617600000000006,0.0008239999999999394,3.1479217603909593
13,0.934,0.858,0.027,0.024965473600000412,0.0020345263999995873,8.14936032296841
14,0.925,0.842,0.024,0.024189062500000292,0.00018906250000029143,0.7816032556048385
15,0.977,0.937,0.029,0.031255584099999664,0.0022555840999996628,7.216579580733821
