Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.779,0.655,0.275,0.2807699280999995,0.005769928099999488,2.0550377809494114
2,-0.712,0.465,3.108,3.106873913599999,0.001126086400001114,0.03624499839120585
3,-0.959,0.952,3.944,3.9421327761000002,0.0018672238999997148,0.04736582976910742
4,0.02,-0.116,2.315,2.315296,0.000296000000000074,0.012784542451594699
5,0.3,0.18,1.3,1.2999999999999998,2.220446049250313e-16,1.708035422500241e-14
6,0.805,0.65,0.039,0.038415062499999965,0.0005849375000000351,1.522677465382324
7,0.101,0.024,0.827,0.8272422401,0.00024224010000006846,0.029282849479589628
8,1.594,2.425,1.66,1.6946338896000064,0.03463388960000646,2.043738757530766
9,0.305,0.227,2.278,2.2779550625000007,4.493749999934238e-05,0.0019727123128594364
10,0.762,0.535,0.265,0.26498147360000013,1.8526399999885257e-05,0.006991583127751633
11,-1.01,1.007,4.056,4.057261,0.0012609999999995125,0.031080080872280896
12,0.01,-0.052,1.252,1.251541,0.0004589999999999872,0.03667478732218818
13,0.044,-0.15,3.222,3.2223908096,0.00039080959999981957,0.012127939256639431
14,0.308,0.088,0.484,0.4835754496,0.0004245504000000011,0.08779403510893227
15,0.253,0.021,0.747,0.7429864080999999,0.0040135919000000575,0.540197217101697
