Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,4.0,-4.0,23.262,32.0,8.738,27.30625
2,4.0,-3.799,23.279,37.40204830367227,14.123048303672267,37.760093214695985
3,4.0,-3.316,23.32,41.024920357136594,17.704920357136594,43.15650147034762
4,3.961,-4.0,23.323,31.98825503509895,8.665255035098948,27.088864414739227
5,4.0,-3.267,23.324,37.73940054275258,14.415400542752575,38.197216530830374
6,4.0,-3.205,23.33,33.482113939607714,10.152113939607716,30.32100648698366
7,4.0,-3.103,23.338,27.6506646046143,4.312664604614298,15.596965448326358
8,4.0,-2.972,23.35,24.987140654707947,1.6371406547079452,6.551932761460179
9,4.0,-2.869,23.358,27.431627212775805,4.073627212775804,14.850111446828729
10,4.0,-2.533,23.387,42.20189804325472,18.814898043254722,44.58306122622836
11,4.0,-2.356,23.402,37.72933213090333,14.32733213090333,37.97398819887432
12,3.903,-4.0,23.412,33.03388790674549,9.621887906745492,29.127325048471548
13,4.0,-2.192,23.416,27.240745212867502,3.8247452128675015,14.040530767347862
14,4.0,-1.973,23.435,20.036283048510022,3.398716951489977,16.962811631585126
15,4.0,-1.894,23.442,21.724351678633823,1.7176483213661768,7.9065573360953545
