Number,X,Y,eval,real,Punctual_Abs_Error,Punctual_Rel_Error_%
1,0.879,-4.0,18.828,19.52610969812953,0.6981096981295316,3.575262604390703
2,0.827,-4.0,18.837,22.032418219225416,3.1954182192254166,14.50325691637927
3,0.975,-4.0,18.859,17.073741594048624,1.785258405951378,10.456163905945862
4,4.0,-0.181,18.995,21.831903715881936,2.8369037158819346,12.994302983382012
5,4.0,-0.133,19.002,19.3108332346328,0.3088332346328002,1.5992745153996082
6,4.0,-0.289,19.027,28.509513307954073,9.482513307954072,33.26087403010306
7,4.0,0.004,19.095,16.003174107167,3.0918258928330005,19.320079080114056
8,0.904,-1.545,20.772,24.571851880485156,3.799851880485157,15.464247053772048
9,0.958,4.0,22.086,17.263947611667263,4.822052388332736,27.93134280061133
10,1.0,4.0,22.091,17.0,5.091000000000001,29.947058823529417
11,0.908,4.0,22.091,18.449183599578582,3.641816400421419,19.73971574820582
12,1.049,4.0,22.109,17.57060758482781,4.5383924151721935,25.82945634214202
13,-4.0,-1.242,24.901,27.040120818202297,2.139120818202297,7.910914424473758
14,-4.0,-1.2,24.909,24.34983005625052,0.5591699437494775,2.2964018330219944
15,-4.0,-1.45,25.097,37.613065162951536,12.516065162951534,33.27584473301507
